Strain Name	cj0008 (486bp)	cj0033 (206bp)	cj0035 (541bp)	cj0057 (175bp)	cj0177 (399bp)	cj0181 (486bp)	cj0264 (406bp)	cj0297c (300bp)	cj0298c (198bp)	cj0307 (347bp)	cj0421c (127bp)	cj0483 (612bp)	cj0486 (301bp)	cj0566 (558bp)	cj0569 (399bp)	cj0570 (405bp)	cj0625 (498bp)	cj0728 (296bp)	cj0733 (441bp)	cj0736 (205bp)	cj0755 (101bp)	cj0860 (282bp)	cj0967 (301bp)	cj1134 (152bp)	cj1136 (510bp)	cj1141 (413bp)	cj1294 (160bp)	cj1324 (440bp)	cj1329 (307bp)	cj1334 (462bp)	cj1427c (613bp)	cj1431c (307bp)	cj1439 (307bp)	cj1550c (188bp)	cj1551 (241bp)	cj1552 (222bp)	cj1585 (630bp)	cj1679 (529bp)	cj1721 (415bp)	cj1727c (369bp)
CE_M_10_4054	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CI-1915	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
CE_R2_11_0134	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CGY_HR_090	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1
CHR_026	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1
CI-0182	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
CI-5889	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
CI-5906	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CI-5943	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
CI-5947	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
08_1714	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CE_R_11_0170	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1
CE_R_11_0178	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-2989	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-2991	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-5692	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
06_4734	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1
07_3647	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
07_7314	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CE2_R2_11_1009	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
CI-0405	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1
CI-1109	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-1117	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
07_7331	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CI-2055	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-2061	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
08_5603	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
08_7016	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CE_M_10_1037	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1
CE_R_11_0192	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CE2_R_11_3113	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CE2_R2_11_3081	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1
CE2_R2_11_3085	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1
CGY_HR_098	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1
CHR_028	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CI-0322	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
CI-0325	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1
CI-2775	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
06_5790	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
07_0675	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0
CE_R_11_0251	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
CHR_053	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
CI-1653	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-3290	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
CI-4990	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
CI-5292	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0
CGY_HR_009	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
CGY_HR_101	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CGY_HR_103	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
CI-0292	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
CI-2605	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
06_4911	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
