"06_3851"	"06_6554"	"06_7656"	"07_0971"	"07_6215"	"08_0100"	"08_1700"	"08_1711"	"08_1714"	"CE_M_09_1073"	"CE_M_09_3054"	"CE_M_10_4053"	"CE_M_10_4054"	"CE_R_10_0273"	"CE_R_10_0305"	"CE_R_10_0306"	"CE_R_11_0270"	"CE_R2_11_0134"	"CE_R2_11_0350"	"CE_R2_11_0374"	"CGY_HR_076"	"CGY_HR_080"	"CHR_026"	"CHR_028"	"CHR_090"	"CHR_130"	"CI_0136"	"CI_0165"	"CI_0168"	"CI_0182"	"CI_0346"	"CI_0392"	"CI_0405"	"CI_0450"	"CI_0532"	"CI_0637"	"CI_0677"	"CI_0697"	"CI_0765"	"CI_1096"	"CI_1109"	"CI_1653"	"CI_1660"	"CI_1920"	"CI_1943"	"CI_1964"	"CI_1969"	"CI_2009"	"CI_2423"	"CI_2533"	"CI_2536"	"CI_2548"	"CI_2705"	"CI_2989"	"CI_3074"	"CI_4353"	"CI_4835"	"CI_5997"
"CI_1653"	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.22	0	0.01	0.12	0.16	0	0	1	0	0	0	0	0	0.17	0.02	0.13	0.22	0.02	0.17	0.02	0.13	0	0	0
"CI_1660"	0	0	0	0	0	0.03	0	0	0.02	0	0	0.02	0.02	0	0	0	0	0.04	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.02	0	1	0.03	0.03	0.02	0.02	0	0	0	0	0	0	0	0	0	0.01	0
"CI_1920"	0.01	0.01	0.02	0	0.01	0.62	0.01	0.01	0.01	0	0.03	0.01	0.01	0.02	0.59	0.59	0.02	0.59	0.46	0.43	0.03	0	0.02	0.02	0	0.02	0	0	0	0	0.01	0	0	0	0	0.61	0.01	0	0	0.02	0.48	0	0.03	1	0.91	0.01	0.01	0	0	0	0	0	0	0	0	0.02	0.44	0.02
"CI_1943"	0.01	0.01	0.02	0.01	0.01	0.6	0.01	0.01	0.01	0	0.03	0.01	0.01	0.02	0.57	0.57	0.02	0.56	0.42	0.41	0.03	0	0.02	0.02	0	0.02	0	0	0	0	0.01	0	0.01	0	0	0.6	0.01	0	0	0.02	0.44	0	0.03	0.91	1	0.01	0.01	0	0	0	0	0	0	0	0	0.02	0.41	0.02
"CI_1964"	0.06	0.08	0.12	0.08	0.43	0.01	0.13	0.07	0.98	0	0.11	0.97	0.97	0.46	0.02	0.02	0.41	0.02	0.02	0.01	0.17	0.01	0.11	0.73	0.01	0.12	0.38	0	0.01	0.01	0.45	0.02	0.09	0	0	0.01	0.16	0	0	0.11	0.01	0	0.02	0.01	0.01	1	1	0	0	0	0	0	0	0	0.01	0.42	0.01	0.34
"CI_1969"	0.06	0.08	0.12	0.08	0.43	0.01	0.13	0.07	0.98	0	0.11	0.97	0.97	0.46	0.02	0.02	0.41	0.02	0.02	0.01	0.17	0.01	0.11	0.73	0.01	0.12	0.38	0	0.01	0.01	0.45	0.02	0.09	0	0	0.01	0.16	0	0	0.11	0.01	0	0.02	0.01	0.01	1	1	0	0	0	0	0	0	0	0.01	0.42	0.01	0.34
"CI_2009"	0.01	0.01	0.01	0.01	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0.21	0.23	0	0	0.19	0.26	0	0	0.17	0	0	0	0	0	1	0.04	0.15	0.23	0.04	0.17	0.04	0.17	0.01	0	0
"CI_2423"	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.07	0.05	0	0	0.03	0.06	0	0	0.02	0	0	0	0	0	0.04	1	0.1	0.05	0.96	0.06	0.92	0.06	0	0	0
"CI_2533"	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.3	0.15	0	0	0.13	0.18	0	0	0.13	0	0	0	0	0	0.15	0.1	1	0.15	0.1	0.12	0.1	0.2	0.01	0	0
"CI_2536"	0.01	0.01	0.01	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.13	1	0	0	0.14	0.19	0	0	0.22	0	0	0	0	0	0.23	0.05	0.15	1	0.05	0.12	0.05	0.14	0.01	0	0
"CI_2548"	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.07	0.05	0	0	0.03	0.06	0	0	0.02	0	0	0	0	0	0.04	0.96	0.1	0.05	1	0.06	0.93	0.06	0	0	0
"CI_2705"	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0.2	0.12	0	0.01	0.32	0.09	0	0	0.17	0	0	0	0	0	0.17	0.06	0.12	0.12	0.06	1	0.06	0.19	0	0	0
"CI_2989"	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.07	0.05	0	0	0.03	0.06	0	0	0.02	0	0	0	0	0	0.04	0.92	0.1	0.05	0.93	0.06	1	0.06	0	0	0
"CI_3074"	0.01	0.01	0.03	0.01	0.01	0	0	0.01	0.01	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0.02	0	0	0.01	0	0	0.01	0	0	0	0.01	0	0.01	0.15	0.14	0	0.02	0.15	0.19	0	0	0.13	0	0	0	0.01	0.01	0.17	0.06	0.2	0.14	0.06	0.19	0.06	1	0.01	0	0.01
"CI_4353"	0.03	0.03	0.18	0.08	0.28	0.01	0.11	0.03	0.44	0	0.11	0.43	0.43	0.78	0.02	0.02	0.54	0.01	0.01	0	0.2	0	0.1	0.44	0	0.1	0.67	0	0.01	0.01	0.29	0.02	0.09	0.01	0.01	0.01	0.14	0.01	0.01	0.1	0.01	0	0	0.02	0.02	0.42	0.42	0.01	0	0.01	0.01	0	0	0	0.01	1	0	0.34
"CI_4835"	0.02	0	0	0.01	0	0.4	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0.48	0.48	0	0.55	0.65	0.97	0	0	0.01	0	0	0.01	0	0	0.01	0.01	0	0.01	0.01	0	0	0.54	0.01	0	0	0.01	0.48	0	0.01	0.44	0.41	0.01	0.01	0	0	0	0	0	0	0	0	0	1	0
"CI_5997"	0.02	0.03	0.17	0.05	0.24	0.01	0.09	0.02	0.34	0	0.07	0.33	0.33	0.34	0	0	0.36	0.01	0	0	0.21	0.01	0.07	0.35	0.01	0.08	0.34	0	0.01	0.01	0.25	0.01	0.06	0	0	0.01	0.15	0	0	0.07	0	0	0	0.02	0.02	0.34	0.34	0	0	0	0	0	0	0	0.01	0.34	0	1
